17:19:35 [OK] PX4 connected udp:127.0.0.1:14540 SYS=1 COMP=1
17:19:35 [OK] 已保存UDP地址：udp:127.0.0.1:14540
17:19:35 [OK] Origin NED=(0.016337765380740166, 0.09885166585445404, -0.04986250400543213); Local-NED stream 10 Hz started
17:19:35.235242 [TRACE] seq=1 monotonic_timestamp=1153.166192 timestamp=1153.166 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.016,0.099,-0.050) actual_velocity=(0.004,0.003,-0.000) final_target=(0.016,0.099,-0.050) command_position=(0.016,0.099,-0.050) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.01
17:19:35.329232 [TRACE] seq=2 monotonic_timestamp=1153.266152 timestamp=1153.266 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.019,0.097,-0.049) actual_velocity=(0.005,0.002,0.000) final_target=(0.019,0.097,-0.049) command_position=(0.019,0.097,-0.049) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.01
17:19:35.433484 [TRACE] seq=3 monotonic_timestamp=1153.370606 timestamp=1153.371 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.020,0.095,-0.048) actual_velocity=(0.006,0.001,0.001) final_target=(0.020,0.095,-0.048) command_position=(0.020,0.095,-0.048) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.01
17:19:35.537264 [TRACE] seq=4 monotonic_timestamp=1153.474356 timestamp=1153.474 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.022,0.093,-0.048) actual_velocity=(0.006,0.000,0.001) final_target=(0.022,0.093,-0.048) command_position=(0.022,0.093,-0.048) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.01
17:19:35.641509 [TRACE] seq=5 monotonic_timestamp=1153.578580 timestamp=1153.579 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.023,0.092,-0.047) actual_velocity=(0.007,-0.001,0.002) final_target=(0.023,0.092,-0.047) command_position=(0.023,0.092,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.01
17:19:35.746431 [TRACE] seq=6 monotonic_timestamp=1153.683482 timestamp=1153.683 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.024,0.090,-0.048) actual_velocity=(0.007,-0.002,0.002) final_target=(0.024,0.090,-0.048) command_position=(0.024,0.090,-0.048) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.02
17:19:35.849777 [TRACE] seq=7 monotonic_timestamp=1153.786837 timestamp=1153.787 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.025,0.089,-0.047) actual_velocity=(0.007,-0.002,0.002) final_target=(0.025,0.089,-0.047) command_position=(0.025,0.089,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.02
17:19:35.951189 [TRACE] seq=8 monotonic_timestamp=1153.887617 timestamp=1153.888 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.026,0.089,-0.047) actual_velocity=(0.007,-0.003,0.002) final_target=(0.026,0.089,-0.047) command_position=(0.026,0.089,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.02
17:19:36.054546 [TRACE] seq=9 monotonic_timestamp=1153.991575 timestamp=1153.992 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.025,0.088,-0.047) actual_velocity=(0.007,-0.003,0.002) final_target=(0.025,0.088,-0.047) command_position=(0.025,0.088,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.02
17:19:36.157635 [TRACE] seq=10 monotonic_timestamp=1154.094750 timestamp=1154.095 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.025,0.089,-0.047) actual_velocity=(0.006,-0.003,0.003) final_target=(0.025,0.089,-0.047) command_position=(0.025,0.089,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.01 pitch_deg=0.02
17:19:36.259438 [TRACE] seq=11 monotonic_timestamp=1154.196511 timestamp=1154.197 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.023,0.089,-0.047) actual_velocity=(0.005,-0.002,0.003) final_target=(0.023,0.089,-0.047) command_position=(0.023,0.089,-0.047) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.00 pitch_deg=0.01
17:19:36.364270 [TRACE] seq=12 monotonic_timestamp=1154.301163 timestamp=1154.301 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.020,0.090,-0.046) actual_velocity=(0.003,-0.001,0.004) final_target=(0.020,0.090,-0.046) command_position=(0.020,0.090,-0.046) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=-0.00 pitch_deg=0.01
17:19:36.467484 [TRACE] seq=13 monotonic_timestamp=1154.404454 timestamp=1154.404 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.017,0.092,-0.045) actual_velocity=(0.001,0.000,0.004) final_target=(0.017,0.092,-0.045) command_position=(0.017,0.092,-0.045) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.00 pitch_deg=0.01
17:19:36.572332 [TRACE] seq=14 monotonic_timestamp=1154.509525 timestamp=1154.510 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.015,0.093,-0.044) actual_velocity=(-0.000,0.001,0.005) final_target=(0.015,0.093,-0.044) command_position=(0.015,0.093,-0.044) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.01 pitch_deg=0.01
17:19:36.676399 [TRACE] seq=15 monotonic_timestamp=1154.613457 timestamp=1154.613 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.012,0.095,-0.043) actual_velocity=(-0.002,0.002,0.005) final_target=(0.012,0.095,-0.043) command_position=(0.012,0.095,-0.043) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.01 pitch_deg=0.01
17:19:36.779404 [TRACE] seq=16 monotonic_timestamp=1154.716565 timestamp=1154.717 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.008,0.096,-0.042) actual_velocity=(-0.004,0.003,0.006) final_target=(0.008,0.096,-0.042) command_position=(0.008,0.096,-0.042) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.01 pitch_deg=0.01
17:19:36.882741 [TRACE] seq=17 monotonic_timestamp=1154.819817 timestamp=1154.820 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(0.004,0.097,-0.041) actual_velocity=(-0.007,0.003,0.006) final_target=(0.004,0.097,-0.041) command_position=(0.004,0.097,-0.041) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.01 pitch_deg=0.01
17:19:36.986101 [TRACE] seq=18 monotonic_timestamp=1154.923322 timestamp=1154.923 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(-0.001,0.097,-0.039) actual_velocity=(-0.009,0.003,0.007) final_target=(-0.001,0.097,-0.039) command_position=(-0.001,0.097,-0.039) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.02 pitch_deg=0.00
17:19:37.088553 [TRACE] seq=19 monotonic_timestamp=1155.025689 timestamp=1155.026 mode=AUTO.RTL takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(-0.004,0.097,-0.037) actual_velocity=(-0.011,0.003,0.007) final_target=(-0.004,0.097,-0.037) command_position=(-0.004,0.097,-0.037) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.02 pitch_deg=0.00
17:19:37.192126 [TRACE] seq=20 monotonic_timestamp=1155.129196 timestamp=1155.129 mode=OFFBOARD takeoff_state=TAKEOFF_IDLE horizontal_mode=POSITION_HOLD type_mask=3520 actual=(-0.008,0.097,-0.036) actual_velocity=(-0.012,0.003,0.008) final_target=(-0.008,0.097,-0.036) command_position=(-0.008,0.097,-0.036) command_velocity=(0.000,0.000,0.000) command_acceleration=(0.000,0.000,0.000) roll_deg=0.02 pitch_deg=0.00
17:19:37 [MODE] OFFBOARD entered; final target and command setpoint locked to current Local-NED
